time,on,off,diff
13.2905,1983,2001,-18
13.46039,2047,1995,52
13.62458,2104,1989,115
13.79167,2152,1984,168
13.96189,2185,1981,204
14.13246,2199,1980,219
14.30367,2193,1980,213
14.47451,2167,1983,184
14.64405,2124,1987,137
14.81689,2067,1993,74
14.98775,2004,1999,5
15.16005,1940,2005,-65
15.33193,1882,2011,-129
15.50252,1837,2016,-179
15.6689,1809,2019,-210
15.84041,1800,2019,-219
16.01246,1811,2018,-207
16.18412,1842,2015,-173
16.35399,1888,2011,-123
16.52288,1946,2005,-59
16.68892,2008,1999,9
16.86039,2071,1992,79
17.0324,2127,1987,140
17.20269,2169,1983,186
17.37261,2194,1980,214
17.5448,2199,1980,219
17.71178,2184,1981,203
17.88202,2150,1984,166
18.05284,2100,1989,111
18.22452,2040,1995,45
18.39466,1976,2002,-26
18.57036,1913,2008,-95
18.7374,1861,2013,-152
18.90796,1823,2017,-194
19.07903,1802,2019,-217
19.25531,1802,2019,-217
19.42761,1823,2017,-194
19.59923,1862,2013,-151
19.76774,1915,2008,-93
19.93717,1976,2002,-26
20.10701,2040,1995,45
20.28135,2101,1989,112
20.45144,2150,1984,166
20.61869,2183,1981,202
20.7901,2199,1980,219
20.96058,2194,1980,214
21.14052,2167,1983,184
21.31242,2123,1987,136
21.48354,2067,1993,74
21.65692,2003,1999,4
21.82981,1939,2006,-67
22.00152,1881,2011,-130
22.17256,1836,2016,-180
22.36064,1806,2019,-213
22.51892,1800,2019,-219
22.67322,1810,2018,-208
22.82573,1836,2016,-180
22.98269,1877,2012,-135
23.13934,1928,2007,-79
0.0,2000,1999,1
0.40348,2137,1986,151
0.5906,2179,1982,197
0.76188,2198,1980,218
0.92889,2196,1980,216
1.09519,2176,1982,194
1.25414,2140,1985,155
1.4329,2085,1991,94
1.59888,2025,1997,28
1.76909,1961,2003,-42
1.93846,1901,2009,-108
2.106,1852,2014,-162
2.28132,1816,2018,-202
2.45506,1800,2019,-219
2.62872,1805,2019,-214
2.79531,1830,2016,-186
2.96753,1872,2012,-140
3.134,1926,2007,-81
3.30412,1988,2001,-13
3.4724,2051,1994,57
3.63942,2109,1989,120
3.81818,2158,1984,174
3.99114,2189,1981,208
4.16209,2199,1980,219
4.33375,2190,1980,210
4.50155,2161,1983,178
4.67108,2116,1988,128
4.83861,2059,1994,65
5.00798,1996,2000,-4
5.17924,1933,2006,-73
5.35064,1877,2012,-135
5.51964,1833,2016,-183
5.68933,1807,2019,-212
5.85846,1800,2019,-219
6.02914,1813,2018,-205
6.20154,1846,2015,-169
6.37289,1894,2010,-116
6.54379,1954,2004,-50
6.71456,2018,1998,20
6.8835,2079,1992,87
7.05526,2133,1986,147
7.22648,2174,1982,192
7.39872,2196,1980,216
7.56745,2198,1980,218
7.73843,2180,1981,199
7.90917,2143,1985,158
8.07079,2094,1990,104
8.24704,2032,1996,36
8.41688,1968,2003,-35
8.58578,1908,2009,-101
8.75781,1856,2014,-158
8.93279,1819,2018,-199
9.09887,1801,2019,-218
9.26824,1803,2019,-216
9.43609,1825,2017,-192
9.60526,1864,2013,-149
9.77351,1917,2008,-91
9.93882,1976,2002,-26
10.10305,2038,1996,42
10.27471,2099,1990,109
10.4426,2148,1985,163
10.61093,2182,1981,201
10.78076,2199,1980,219
10.94855,2195,1980,215
11.11303,2172,1982,190
11.27891,2133,1986,147
11.44606,2080,1991,89
11.6129,2020,1997,23
11.78692,1955,2004,-49
11.95689,1895,2010,-115
12.12739,1847,2015,-168
12.30134,1813,2018,-205
12.472,1800,2019,-219
12.64236,1807,2019,-212
12.825,1836,2016,-180
12.98148,1876,2012,-136
13.1401,1928,2007,-79
13.29684,1986,2001,-15
13.4541,2045,1995,50
13.61398,2100,1989,111
13.77446,2147,1985,162
13.92949,2180,1981,199
14.08213,2197,1980,217
14.23608,2198,1980,218
14.39175,2182,1981,201
14.55039,2149,1985,164
14.70772,2104,1989,115
14.86534,2050,1994,56
15.02445,1990,2000,-10
15.1812,1933,2006,-73
15.34086,1880,2011,-131
15.49848,1838,2016,-178
15.65743,1810,2018,-208
